doi,title,authors_str,pub_date,journal,abstract,pmid,pmid_link,pmcid,pmcid_link,citation_count,s2_paper_id
10.1073/pnas.2000388117,Triad hybridization via a conduit species.,Peter R Grant; B Rosemary Grant,2020-04-07,Proceedings of the National Academy of Sciences of the United States of America,"Introgressive hybridization can affect the evolution of populations in several important ways. It may retard or reverse divergence of species, enable the development of novel traits, enhance the potential for future evolution by elevating levels of standing variation, create new species, and alleviate inbreeding depression in small populations. Most of what is known of contemporary hybridization in nature comes from the study of pairs of species, either coexisting in the same habitat or distributed parapatrically and separated by a hybrid zone. More rarely, three species form an interbreeding complex (triad), reported in vertebrates, insects, and plants. Often, one species acts as a genetic link or conduit for the passage of genes (alleles) between two others that rarely, if ever, hybridize. Demographic and genetic consequences are unknown. Here we report results of a long-term study of interbreeding Darwin's finches on Daphne Major island, Galápagos. Geospiza fortis acted as a conduit for the passage of genes between two others that have never been observed to interbreed on Daphne: Geospiza fuliginosa, a rare immigrant, and Geospiza scandens, a resident. Microsatellite gene flow from G. fortis into G. scandens increased in frequency during 30 y of favorable ecological conditions, resulting in genetic and morphological convergence. G. fortis, G. scandens, and the derived dihybrids and trihybrids experienced approximately equal fitness. Especially relevant to young adaptive radiations, where species differ principally in ecology and behavior, these findings illustrate how new combinations of genes created by hybridization among three species can enhance the potential for evolutionary change.",32213581,https://pubmed.ncbi.nlm.nih.gov/32213581/,PMC7148562,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7148562/,,
10.1371/journal.pone.0226432,"An inter-island comparison of Darwin's finches reveals the impact of habitat, host phylogeny, and island on the gut microbiome.",Wesley T Loo; Rachael Y Dudaniec; Sonia Kleindorfer; Colleen M Cavanaugh,2019-01-01,PloS one,"Darwin's finch species in the Galapagos Archipelago are an iconic adaptive radiation that offer a natural experiment to test for the various factors that influence gut microbiome composition. The island of Floreana has the longest history of human settlement within the archipelago and offers an opportunity to compare island and habitat effects on Darwin's finch microbiomes. In this study, we compare gut microbiomes in Darwin's finch species on Floreana Island to test for effects of host phylogeny, habitat (lowlands, highlands), and island (Floreana, Santa Cruz). We used 16S rRNA Illumina sequencing of fecal samples to assess the gut microbiome composition of Darwin's finches, complemented by analyses of stable isotope values and foraging data to provide ecological context to the patterns observed. Overall bacterial composition of the gut microbiome demonstrated co-phylogeny with Floreana hosts, recapitulated the effect of habitat and diet, and showed differences across islands. The finch phylogeny uniquely explained more variation in the microbiome than did foraging data. Finally, there were interaction effects for island × habitat, whereby the same Darwin's finch species sampled on two islands differed in microbiome for highland samples (highland finches also had different diets across islands) but not lowland samples (lowland finches across islands had comparable diet). Together, these results corroborate the influence of phylogeny, age, diet, and sampling location on microbiome composition and emphasize the necessity for comprehensive sampling given the multiple factors that influence the gut microbiome in Darwin's finches, and by extension, in animals broadly.",31834908,https://pubmed.ncbi.nlm.nih.gov/31834908/,PMC6910665,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6910665/,,
10.1098/rspb.2019.2290,Temporally varying disruptive selection in the medium ground finch (Geospiza fortis).,Marc-Olivier Beausoleil; Luke O Frishkoff; Leithen K M'Gonigle; Joost A M Raeymaekers; Sarah A Knutie; Luis F De León; Sarah K Huber; Jaime A Chaves; Dale H Clayton; Jennifer A H Koop; Jeffrey Podos; Diana M T Sharpe; Andrew P Hendry; Rowan D H Barrett,2019-12-04,Proceedings. Biological sciences,"Disruptive natural selection within populations exploiting different resources is considered to be a major driver of adaptive radiation and the production of biodiversity. Fitness functions, which describe the relationships between trait variation and fitness, can help to illuminate how this disruptive selection leads to population differentiation. However, a single fitness function represents only a particular selection regime over a single specified time period (often a single season or a year), and therefore might not capture longer-term dynamics. Here, we build a series of annual fitness functions that quantify the relationships between phenotype and apparent survival. These functions are based on a 9-year mark-recapture dataset of over 600 medium ground finches (Geospiza fortis) within a population bimodal for beak size. We then relate changes in the shape of these functions to climate variables. We find that disruptive selection between small and large beak morphotypes, as reported previously for 2 years, is present throughout the study period, but that the intensity of this selection varies in association with the harshness of environment. In particular, we find that disruptive selection was strongest when precipitation was high during the dry season of the previous year. Our results shed light on climatic factors associated with disruptive selection in Darwin's finches, and highlight the role of temporally varying fitness functions in modulating the extent of population differentiation.",31795872,https://pubmed.ncbi.nlm.nih.gov/31795872/,PMC6939253,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6939253/,,
10.1073/pnas.1913534116,Hybridization increases population variation during adaptive radiation.,Peter R Grant; B Rosemary Grant,2019-11-12,Proceedings of the National Academy of Sciences of the United States of America,"Adaptive radiations are prominent components of the world's biodiversity. They comprise many species derived from one or a small number of ancestral species in a geologically short time that have diversified into a variety of ecological niches. Several authors have proposed that introgressive hybridization has been important in the generation of new morphologies and even new species, but how that happens throughout evolutionary history is not known. Interspecific gene exchange is expected to have greatest impact on variation if it occurs after species have diverged genetically and phenotypically but before genetic incompatibilities arise. We use a dated phylogeny to infer that populations of Darwin's finches in the Galápagos became more variable in morphological traits through time, consistent with the hybridization hypothesis, and then declined in variation after reaching a peak. Some species vary substantially more than others. Phylogenetic inferences of hybridization are supported by field observations of contemporary hybridization. Morphological effects of hybridization have been investigated on the small island of Daphne Major by documenting changes in hybridizing populations of Geospiza fortis and Geospiza scandens over a 30-y period. G. scandens showed more evidence of admixture than G. fortis Beaks of G. scandens became progressively blunter, and while variation in length increased, variation in depth decreased. These changes imply independent effects of introgression on 2, genetically correlated, beak dimensions. Our study shows how introgressive hybridization can alter ecologically important traits, increase morphological variation as a radiation proceeds, and enhance the potential for future evolution in changing environments.",31659024,https://pubmed.ncbi.nlm.nih.gov/31659024/,PMC6859339,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6859339/,,
10.1111/eva.12721,Urbanization erodes niche segregation in Darwin's finches.,Luis F De León; Diana M T Sharpe; Kiyoko M Gotanda; Joost A M Raeymaekers; Jaime A Chaves; Andrew P Hendry; Jeffrey Podos,2019-08-01,Evolutionary applications,"Urbanization is influencing patterns of biological evolution in ways that are only beginning to be explored. One potential effect of urbanization is in modifying ecological resource distributions that underlie niche differences and that thus promote and maintain species diversification. Few studies have assessed such modifications, or their potential evolutionary consequences, in the context of ongoing adaptive radiation. We study this effect in Darwin's finches on the Galápagos Islands, by quantifying feeding preferences and diet niche partitioning across sites with different degrees of urbanization. We found higher finch density in urban sites and that feeding preferences and diets at urban sites skew heavily toward human food items. Furthermore, we show that finches at urban sites appear to be accustomed to the presence of people, compared with birds at sites with few people. In addition, we found that human behavior via the tendency to feed birds at non-urban but tourist sites is likely an important driver of finch preferences for human foods. Site differences in diet and feeding behavior have resulted in larger niche breadth within finch species and wider niche overlap between species at the urban sites. Both factors effectively minimize niche differences that would otherwise facilitate interspecies coexistence. These findings suggest that both human behavior and ongoing urbanization in Galápagos are starting to erode ecological differences that promote and maintain adaptive radiation in Darwin's finches. Smoothing of adaptive landscapes underlying diversification represents a potentially important yet underappreciated consequence of urbanization. Overall, our findings accentuate the fragility of the initial stages of adaptive radiation in Darwin's finches and raise concerns about the fate of the Galápagos ecosystems in the face of increasing urbanization.",31417618,https://pubmed.ncbi.nlm.nih.gov/31417618/,PMC6691225,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6691225/,,
10.1098/rspb.2019.0461,"Introduced parasite changes host phenotype, mating signal and hybridization risk: Philornis downsi effects on Darwin's finch song.",Sonia Kleindorfer; Georgina Custance; Katharina J Peters; Frank J Sulloway,2019-06-12,Proceedings. Biological sciences,"Introduced parasites that alter their host's mating signal can change the evolutionary trajectory of a species through sexual selection. Darwin's Camarhynchus finches are threatened by the introduced fly Philornis downsi that is thought to have accidentally arrived on the Galapagos Islands during the 1960s. The P. downsi larvae feed on the blood and tissue of developing finches, causing on average approximately 55% in-nest mortality and enlarged naris size in survivors. Here we test if enlarged naris size is associated with song characteristics and vocal deviation in the small tree finch ( Camarhynchus parvulus), the critically endangered medium tree finch ( C. pauper) and the recently observed hybrid tree finch group ( Camarhynchus hybrids). Male C. parvulus and C. pauper with enlarged naris size produced song with lower maximum frequency and greater vocal deviation, but there was no significant association in hybrids. Less vocal deviation predicted faster pairing success in both parental species. Finally, C. pauper males with normal naris size produced species-specific song, but male C. pauper with enlarged naris size had song that was indistinguishable from other tree finches. When parasites disrupt host mating signal, they may also facilitate hybridization. Here we show how parasite-induced naris enlargement affects vocal quality, resulting in blurred species mating signals.",31185871,https://pubmed.ncbi.nlm.nih.gov/31185871/,PMC6571467,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6571467/,,
10.1098/rsos.181616,Genetic admixture predicts parasite intensity: evidence for increased hybrid performance in Darwin's tree finches.,Katharina J Peters; Christine Evans; J David Aguirre; Sonia Kleindorfer,2019-04-01,Royal Society open science,"Hybridization can increase adaptive potential when enhanced genetic diversity or novel genetic combinations confer a fitness advantage, such as in the evolution of anti-parasitic mechanisms. Island systems are especially susceptible to invasive parasites due to the lack of defence mechanisms that usually coevolve in long-standing host-parasite relationships. We test if host genetic admixture affects parasite numbers in a novel host-parasite association on the Galápagos Islands. Specifically, we compare the number of Philornis downsi in nests with offspring sired by Darwin's small tree finch (Camarhynchus parvulus), Darwin's medium tree finch (C. pauper) and hybrids of these two species. The number of P. downsi decreased with an increasing genetic admixture of the attending male, and nests of hybrid males had approximately 50% fewer parasites than C. parvulus nests, and approximately 60% fewer parasites than C. pauper nests. This finding indicates that hybridization in this system could be favoured by selection and reveal a mechanism to combat an invasive parasite.",31183118,https://pubmed.ncbi.nlm.nih.gov/31183118/,PMC6502384,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6502384/,,
10.1111/mec.15088,Human activity can influence the gut microbiota of Darwin's finches in the Galapagos Islands.,Sarah A Knutie; Jaime A Chaves; Kiyoko M Gotanda,2019-05-01,Molecular ecology,"The gut microbiota of animal hosts can be influenced by environmental factors, such as unnatural food items that are introduced by humans. Over the past 30 years, human presence has grown exponentially in the Galapagos Islands, which are home to endemic Darwin's finches. Consequently, humans have changed the environment and diet of Darwin's finches, which in turn, could affect their gut microbiota. In this study, we compared the gut microbiota of two species of Darwin's finches, small ground finches (Geospiza fuliginosa) and medium ground finches (Geospiza fortis), across sites with and without human presence, where finches prefer human-processed and natural food, respectively. We predicted that: (a) finch microbiota would differ between sites with and without humans due to differences in diet, and (b) gut microbiota of each finch species would be most similar where finches have the highest niche overlap (areas with humans) compared to the lowest niche overlap (areas without humans). We found that gut bacterial community structure differed across sites and host species. Gut bacterial diversity was most distinct between the two species at the site with human presence compared to the site without human presence, which contradicted our predictions. Within host species, medium ground finches had lower bacterial diversity at the site with human presence compared to the site without human presence and bacterial diversity of small ground finches did not differ between sites. Our results show that the gut microbiota of Darwin's finches is affected differently across sites with varying human presence.",31021499,https://pubmed.ncbi.nlm.nih.gov/31021499/,,,,
10.1038/s41467-018-07374-9,Growth factor gene IGF1 is associated with bill size in the black-bellied seedcracker Pyrenestes ostrinus.,Bridgett M vonHoldt; Rebecca Y Kartzinel; Christian D Huber; Vinh Le Underwood; Ying Zhen; Kristen Ruegg; Kirk E Lohmueller; Thomas B Smith,2018-11-19,Nature communications,"Pyrenestes finches are unique among birds in showing a non-sex-determined polymorphism in bill size and are considered a textbook example of disruptive selection. Morphs breed randomly with respect to bill size, and differ in diet and feeding performance relative to seed hardness. Previous breeding experiments are consistent with the polymorphism being controlled by a single genetic factor. Here, we use genome-wide pooled sequencing to explore the underlying genetic basis of bill morphology and identify a single candidate region. Targeted resequencing reveals extensive linkage disequilibrium across a 300 Kb region containing the insulin-like growth factor 1 (IGF1) gene, with a single 5-million-year-old haplotype associating with phenotypic dominance of the large-billed morph. We find no genetic similarities controlling bill size in the well-studied Darwin's finches (Geospiza). Our results show how a single genetic factor may control bill size and provide a foundation for future studies to examine this phenomenon within and among avian species.",30451848,https://pubmed.ncbi.nlm.nih.gov/30451848/,PMC6242981,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6242981/,,
10.1093/sysbio/syy073,Species Limits and Phylogenomic Relationships of Darwin's Finches Remain Unresolved: Potential Consequences of a Volatile Ecological Setting.,Robert M Zink; Hernán Vázquez-Miranda,2019-03-01,Systematic biology,"Island biotas have become paradigms for illustrating many evolutionary processes. The fauna of the Galapagos Islands includes several taxa that have been focal points for evolutionary studies. Perhaps their most famous inhabitants, Darwin's finches, represent a go-to icon when thinking about how species originate and adapt to the environment. However, unlike other adaptive radiations, past morphological and molecular studies of Darwin's finches have yielded inconsistent hypotheses of species limits and phylogenetic relationships. Expecting that idiosyncrasies of prior data and analytic methods explained different proposed classifications, we were surprised to observe that three new phylogenetic hypotheses derived mostly from the same genomics data were topologically inconsistent. We found that the differences between some of these genomics trees were as great as one would expect between two random trees with the same number of taxa. Thus, the phylogeny of Darwin's finches remains unresolved, as it has for more than a century. A component of phylogenetic uncertainty comes from unclear species limits, under any species concept, in the ground finches (Geospiza) and tree finches (Camarhynchus). We suggest that past authors should have tested the species limits of Lack, rather than uncritically accepting them. In fact, the impressive amount of genomics data do not provide unambiguous hypotheses of the number of species of Geospiza or Camarhynchus, although they imply greater species diversity than Lack's taxonomy. We suggest that insufficient sampling of species populations across islands (35.6% for morphometrics and 20.4% for genomics) prevents accurate diagnoses of species limits. However, it is unknown whether samples from a greater number of islands might result in bridging differences between species, or reveal many new ones. We conclude that attempts to interpret patterns of variation among the finches under standard evolutionary paradigms have obscured some major messages, most specifically the ongoing reciprocal interactions between geographic isolation and lineage divergence, and dispersal and gene flow caused by the volatile ecological conditions in the islands. Although the finches provide textbook examples of natural selection, better understanding of species limits and a robust phylogenetic hypothesis are required to corroborate past hypotheses of speciation and adaptive radiation in the finches of the Galapagos.",30371872,https://pubmed.ncbi.nlm.nih.gov/30371872/,,,,
10.1073/pnas.1813662115,Role of sexual imprinting in assortative mating and premating isolation in Darwin's finches.,Peter R Grant; B Rosemary Grant,2018-11-13,Proceedings of the National Academy of Sciences of the United States of America,"Global biodiversity is being degraded at an unprecedented rate, so it is important to preserve the potential for future speciation. Providing for the future requires understanding speciation as a contemporary ecological process. Phylogenetically young adaptive radiations are a good choice for detailed study because diversification is ongoing. A key question is how incipient species become reproductively isolated from each other. Barriers to gene exchange have been investigated experimentally in the laboratory and in the field, but little information exists from the quantitative study of mating patterns in nature. Although the degree to which genetic variation underlying mate-preference learning is unknown, we provide evidence that two species of Darwin's finches imprint on morphological cues of their parents and mate assortatively. Statistical evidence of presumed imprinting is stronger for sons than for daughters and is stronger for imprinting on fathers than on mothers. In combination, morphology and species-specific song learned from the father constitute a barrier to interbreeding. The barrier becomes stronger the more the species diverge morphologically and ecologically. It occasionally breaks down, and the species hybridize. Hybridization is most likely to happen when species are similar to each other in adaptive morphological traits, e.g., body size and beak size and shape. Hybridization can lead to the formation of a new species reproductively isolated from the parental species as a result of sexual imprinting. Conservation of sufficiently diverse natural habitat is needed to sustain a large sample of extant biota and preserve the potential for future speciation.",30348758,https://pubmed.ncbi.nlm.nih.gov/30348758/,PMC6243256,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6243256/,,
10.1186/s40168-018-0555-8,The gut of the finch: uniqueness of the gut microbiome of the Galápagos vampire finch.,Alice J Michel; Lewis M Ward; Shana K Goffredi; Katherine S Dawson; Daniel T Baldassarre; Alec Brenner; Kiyoko M Gotanda; John E McCormack; Sean W Mullin; Ariel O'Neill; Gabrielle S Tender; J Albert C Uy; Kristie Yu; Victoria J Orphan; Jaime A Chaves,2018-09-19,Microbiome,"BACKGROUND: Darwin's finches are a clade of 19 species of passerine birds native to the Galápagos Islands, whose biogeography, specialized beak morphologies, and dietary choices-ranging from seeds to blood-make them a classic example of adaptive radiation. While these iconic birds have been intensely studied, the composition of their gut microbiome and the factors influencing it, including host species, diet, and biogeography, has not yet been explored.
RESULTS: We characterized the microbial community associated with 12 species of Darwin's finches using high-throughput 16S rRNA sequencing of fecal samples from 114 individuals across nine islands, including the unusual blood-feeding vampire finch (Geospiza septentrionalis) from Darwin and Wolf Islands. The phylum-level core gut microbiome for Darwin's finches included the Firmicutes, Gammaproteobacteria, and Actinobacteria, with members of the Bacteroidetes at conspicuously low abundance. The gut microbiome was surprisingly well conserved across the diversity of finch species, with one exception-the vampire finch-which harbored bacteria that were either absent or extremely rare in other finches, including Fusobacterium, Cetobacterium, Ureaplasma, Mucispirillum, Campylobacter, and various members of the Clostridia-bacteria known from the guts of carnivorous birds and reptiles. Complementary stable isotope analysis of feathers revealed exceptionally high δ15N isotope values in the vampire finch, resembling top marine predators. The Galápagos archipelago is also known for extreme wet and dry seasons, and we observed a significant seasonal shift in the gut microbial community of five additional finch species sampled during both seasons.
CONCLUSIONS: This study demonstrates the overall conservatism of the finch gut microbiome over short (< 1 Ma) divergence timescales, except in the most extreme case of dietary specialization, and elevates the evolutionary importance of seasonal shifts in driving not only species adaptation, but also gut microbiome composition.",30231937,https://pubmed.ncbi.nlm.nih.gov/30231937/,PMC6146768,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6146768/,,
10.1038/s41437-017-0016-3,The genetic architecture of ecological adaptation: intraspecific variation in host plant use by the lepidopteran crop pest Chloridea virescens.,Sara J Oppenheim; Fred Gould; Keith R Hopper,2018-03-01,Heredity,"Intraspecific variation in ecologically important traits is a cornerstone of Darwin's theory of evolution by natural selection. The evolution and maintenance of this variation depends on genetic architecture, which in turn determines responses to natural selection. Some models suggest that traits with complex architectures are less likely to respond to selection than those with simple architectures, yet rapid divergence has been observed in such traits. The simultaneous evolutionary lability and genetic complexity of host plant use in the Lepidopteran subfamily Heliothinae suggest that architecture may not constrain ecological adaptation in this group. Here we investigate the response of Chloridea virescens, a generalist that feeds on diverse plant species, to selection for performance on a novel host, Physalis angulata (Solanaceae). P. angulata is the preferred host of Chloridea subflexa, a narrow specialist on the genus Physalis. In previous experiments, we found that the performance of C. subflexa on P. angulata depends on many loci of small effect distributed throughout the genome, but whether the same architecture would be involved in the generalist's adoption of P. angulata was unknown. Here we report a rapid response to selection in C. virescens for performance on P. angulata, and establish that the genetic architecture of intraspecific variation is quite similar to that of the interspecific differences in terms of the number, distribution, and effect sizes of the QTL involved. We discuss the impact of genetic architecture on the ability of Heliothine moths to respond to varying ecological selection pressures.",29238078,https://pubmed.ncbi.nlm.nih.gov/29238078/,PMC5836587,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5836587/,,
10.1126/science.aao4593,Rapid hybrid speciation in Darwin's finches.,Sangeet Lamichhaney; Fan Han; Matthew T Webster; Leif Andersson; B Rosemary Grant; Peter R Grant,2018-01-12,Science,"Homoploid hybrid speciation in animals has been inferred frequently from patterns of variation, but few examples have withstood critical scrutiny. Here we report a directly documented example, from its origin to reproductive isolation. An immigrant Darwin's finch to Daphne Major in the Galápagos archipelago initiated a new genetic lineage by breeding with a resident finch (Geospiza fortis). Genome sequencing of the immigrant identified it as a G. conirostris male that originated on Española >100 kilometers from Daphne Major. From the second generation onward, the lineage bred endogamously and, despite intense inbreeding, was ecologically successful and showed transgressive segregation of bill morphology. This example shows that reproductive isolation, which typically develops over hundreds of generations, can be established in only three.",29170277,https://pubmed.ncbi.nlm.nih.gov/29170277/,,,,
10.1186/s12862-017-1025-9,Epigenetic variation between urban and rural populations of Darwin's finches.,Sabrina M McNew; Daniel Beck; Ingrid Sadler-Riggleman; Sarah A Knutie; Jennifer A H Koop; Dale H Clayton; Michael K Skinner,2017-08-24,BMC evolutionary biology,"BACKGROUND: The molecular basis of evolutionary change is assumed to be genetic variation. However, growing evidence suggests that epigenetic mechanisms, such as DNA methylation, may also be involved in rapid adaptation to new environments. An important first step in evaluating this hypothesis is to test for the presence of epigenetic variation between natural populations living under different environmental conditions.
RESULTS: In the current study we explored variation between populations of Darwin's finches, which comprise one of the best-studied examples of adaptive radiation. We tested for morphological, genetic, and epigenetic differences between adjacent ""urban"" and ""rural"" populations of each of two species of ground finches, Geospiza fortis and G. fuliginosa, on Santa Cruz Island in the Galápagos. Using data collected from more than 1000 birds, we found significant morphological differences between populations of G. fortis, but not G. fuliginosa. We did not find large size copy number variation (CNV) genetic differences between populations of either species. However, other genetic variants were not investigated. In contrast, we did find dramatic epigenetic differences between the urban and rural populations of both species, based on DNA methylation analysis. We explored genomic features and gene associations of the differentially DNA methylated regions (DMR), as well as their possible functional significance.
CONCLUSIONS: In summary, our study documents local population epigenetic variation within each of two species of Darwin's finches.",28835203,https://pubmed.ncbi.nlm.nih.gov/28835203/,PMC5569522,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5569522/,,
10.1111/jeb.13167,Females drive asymmetrical introgression from rare to common species in Darwin's tree finches.,K J Peters; S A Myers; R Y Dudaniec; J A O'Connor; S Kleindorfer,2017-11-01,Journal of evolutionary biology,"The consequences of hybridization for biodiversity depend on the specific ecological and evolutionary context in which it occurs. Understanding patterns of gene flow among hybridizing species is crucial for determining the evolutionary trajectories of species assemblages. The recently discovered hybridization between two species of Darwin's tree finches (Camarhynchus parvulus and C. pauper) on Floreana Island, Galápagos, presents an exciting opportunity to investigate the mechanisms causing hybridization and its potential evolutionary consequences under conditions of recent habitat disturbance and the introduction of invasive pathogens. In this study, we combine morphological and genetic analysis with pairing observations to explore the extent, direction and drivers of hybridization and to test whether hybridization patterns are a result of asymmetrical pairing preference driven by females of the rarer species (C. pauper). We found asymmetrical introgression from the critically endangered, larger-bodied C. pauper to the common, smaller-bodied C. parvulus, which was associated with a lack of selection against heterospecific males by C. pauper females. Examination of pairing data showed that C. parvulus females paired assortatively, whereas C. pauper females showed no such pattern. This study shows how sex-specific drivers can determine the direction of gene flow in hybridizing species. Furthermore, our results suggest the existence of a hybrid swarm comprised of C. parvulus and hybrid birds. We discuss the influence of interspecific abundance differences and susceptibility to the invasive parasite Philornis downsi on the observed hybridization and recommend that the conservation of this iconic species group should be managed jointly rather than species-specific.",28833876,https://pubmed.ncbi.nlm.nih.gov/28833876/,,,,
10.1111/mec.14166,The adaptive genomic landscape of beak morphology in Darwin's finches.,Lucinda P Lawson; Kenneth Petren,2017-10-01,Molecular ecology,"Beak shape in Darwin's ground finches (Geospiza) is emblematic of natural selection and adaptive radiation, yet our understanding of the genetic basis of beak shape variation, and thus the genetic target of natural selection, is still evolving. Here we reveal the genomic architecture of beak shape variation using genomewide comparisons of four closely related and hybridizing species across 13 islands subject to parallel natural selection. Pairwise contrasts among species were used to identify a large number of genomic loci that are consistently related to species differences across a complex landscape. These loci are associated with hundreds of genes that have enriched GO categories significantly associated with development. One genomic region of particular interest is a section of Chromosome 1A with many candidate genes and increased linkage. The distinct, pointed beak shape of the cactus finch is linked to an excess of intermediate frequency alleles and increased heterozygosity in significant SNPs, but not across the rest of the genome. Alleles associated with pointier beaks among species were associated with pointier-beaked populations within each species, thus establishing a common basis for natural selection, species divergence and adaptive radiation. The adaptive genomic landscape for Darwin's finches mirrors theoretical expectations based on morphological variation. The implication that a large number of genes are actively maintained to facilitate beak variation across parallel populations with documented interspecies admixture challenges our understanding of evolutionary processes in the wild.",28475225,https://pubmed.ncbi.nlm.nih.gov/28475225/,,,,
10.1101/gr.212522.116,"Gene flow, ancient polymorphism, and ecological adaptation shape the genomic landscape of divergence among Darwin's finches.",Fan Han; Sangeet Lamichhaney; B Rosemary Grant; Peter R Grant; Leif Andersson; Matthew T Webster,2017-06-01,Genome research,"Genomic comparisons of closely related species have identified ""islands"" of locally elevated sequence divergence. Genomic islands may contain functional variants involved in local adaptation or reproductive isolation and may therefore play an important role in the speciation process. However, genomic islands can also arise through evolutionary processes unrelated to speciation, and examination of their properties can illuminate how new species evolve. Here, we performed scans for regions of high relative divergence (FST) in 12 species pairs of Darwin's finches at different genetic distances. In each pair, we identify genomic islands that are, on average, elevated in both relative divergence (FST) and absolute divergence (dXY). This signal indicates that haplotypes within these genomic regions became isolated from each other earlier than the rest of the genome. Interestingly, similar numbers of genomic islands of elevated dXY are observed in sympatric and allopatric species pairs, suggesting that recent gene flow is not a major factor in their formation. We find that two of the most pronounced genomic islands contain the ALX1 and HMGA2 loci, which are associated with variation in beak shape and size, respectively, suggesting that they are involved in ecological adaptation. A subset of genomic island regions, including these loci, appears to represent anciently diverged haplotypes that evolved early during the radiation of Darwin's finches. Comparative genomics data indicate that these loci, and genomic islands in general, have exceptionally low recombination rates, which may play a role in their establishment.",28442558,https://pubmed.ncbi.nlm.nih.gov/28442558/,PMC5453315,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5453315/,,
10.1111/mec.13868,Population genomics fits the bill: genetics of adaptive beak variation in Darwin's finches.,Nicholas I Mundy,2016-11-01,Molecular ecology,"Darwin's finches are an iconic case of adaptive radiation. The size and shape of their beaks are key adaptive traits related to trophic niche that vary among species and evolve rapidly when the food supply changes. Building on recent studies, a paper in this issue of Molecular Ecology (Chaves et al. ) investigates the genomic basis of beak size variation in sympatric populations of three species of ground finch (Geospiza) by performing a Genome-wide association study using RAD-seq data. The authors find that variation in a small number of markers can explain a substantial proportion of variation in beak size. Some of these markers are in genomic regions that have previously been implicated in beak size variation in Darwin's finches, whereas other markers have not, suggesting both conservation and divergence in the genetic basis of morphological evolution. Overall, the study confirms that loci of large effect are involved in beak size variation, which helps to explain the high heritability and rapid response to selection of this trait. The independent identification of regions containing HMGA2 and DLK1 loci in a GWAS makes them prime targets for functional studies. The study also shows that under the right conditions, RAD-seq can be a viable alternative to genome sequencing for GWAS in wild vertebrate populations.",27785886,https://pubmed.ncbi.nlm.nih.gov/27785886/,,,,
10.1111/mec.13743,Genomic variation at the tips of the adaptive radiation of Darwin's finches.,Jaime A Chaves; Elizabeth A Cooper; Andrew P Hendry; Jeffrey Podos; Luis F De León; Joost A M Raeymaekers; W Owen MacMillan; J Albert C Uy,2016-11-01,Molecular ecology,"Adaptive radiation unfolds as selection acts on the genetic variation underlying functional traits. The nature of this variation can be revealed by studying the tips of an ongoing adaptive radiation. We studied genomic variation at the tips of the Darwin's finch radiation; specifically focusing on polymorphism within, and variation among, three sympatric species of the genus Geospiza. Using restriction site-associated DNA (RAD-seq), we characterized 32 569 single-nucleotide polymorphisms (SNPs), from which 11 outlier SNPs for beak and body size were uncovered by a genomewide association study (GWAS). Principal component analysis revealed that these 11 SNPs formed four statistically linked groups. Stepwise regression then revealed that the first PC score, which included 6 of the 11 top SNPs, explained over 80% of the variation in beak size, suggesting that selection on these traits influences multiple correlated loci. The two SNPs most strongly associated with beak size were near genes associated with beak morphology across deeper branches of the radiation: delta-like 1 homologue (DLK1) and high-mobility group AT-hook 2 (HMGA2). Our results suggest that (i) key adaptive traits are associated with a small fraction of the genome (11 of 32 569 SNPs), (ii) SNPs linked to the candidate genes are dispersed throughout the genome (on several chromosomes), and (iii) micro- and macro-evolutionary variation (roots and tips of the radiation) involve some shared and some unique genomic regions.",27363308,https://pubmed.ncbi.nlm.nih.gov/27363308/,,,,
